[NodeName : SFIX;Database : GUJARAT;File Name : C:\Users\Administrator\Desktop\Z500.csv;Date : 01/06/2023;Time : 12:00:17]
#AI469;DI715;AR1440;AA2;DA742;TX3;D16164#

[BLOCK TYPE;TAG;NEXT BLK;DESCRIPTION;INITIAL SCAN;SCAN TIME;SMOOTHING;I/O DEVICE;H/W OPTIONS;I/O ADDRESS;SIGNAL CONDITIONING;LOW EGU LIMIT;HIGH EGU LIMIT;EGU TAG;INITIAL A/M STATUS;ALARM ENABLE;ALARM AREA(S);LO LO ALARM LIMIT;LO ALARM LIMIT;HI ALARM LIMIT;HI HI ALARM LIMIT;ROC ALARM LIMIT;DEAD BAND;ALARM PRIORITY;ENABLE OUTPUT;SECURITY AREA 1;SECURITY AREA 2;SECURITY AREA 3;ALARM AREA 1;ALARM AREA 2;ALARM AREA 3;ALARM AREA 4;ALARM AREA 5;ALARM AREA 6;ALARM AREA 7;ALARM AREA 8;ALARM AREA 9;ALARM AREA 10;ALARM AREA 11;ALARM AREA 12;ALARM AREA 13;ALARM AREA 14;ALARM AREA 15;USER FIELD 1;USER FIELD 2;ESIG TYPE;ESIG ALLOW CONT USE;ESIG XMPT ALARM ACK;ESIG UNSIGNED WRITES;ESIG COMMENT REQUIRED;PDR Update Rate;PDR Access Time;PDR Deadband;PDR Latch;PDR Disable Output;PDR Array Length;Hist Description;Hist Collect;Hist Interval;Hist Offset;Hist Time Res;Hist Compress;Hist Deadband;Hist Comp Type;Hist Comp Time;Scale Enabled;Scale Clamping;Scale Use EGU;Scale Raw Low;Scale Raw High;Scale Low;Scale High]
!A_NAME;A_TAG;A_NEXT;A_DESC;A_ISCAN;A_SCANT;A_SMOTH;A_IODV;A_IOHT;A_IOAD;A_IOSC;A_ELO;A_EHI;A_EGUDESC;A_IAM;A_IENAB;A_ADI;A_LOLO;A_LO;A_HI;A_HIHI;A_ROC;A_DBAND;A_PRI;A_EOUT;A_SA1;A_SA2;A_SA3;A_AREA1;A_AREA2;A_AREA3;A_AREA4;A_AREA5;A_AREA6;A_AREA7;A_AREA8;A_AREA9;A_AREA10;A_AREA11;A_AREA12;A_AREA13;A_AREA14;A_AREA15;A_ALMEXT1;A_ALMEXT2;A_ESIGTYPE;A_ESIGCONT;A_ESIGACK;A_ESIGTRAP;A_ESIGREQ_COMMENT;A_PDR_UPDATERATE;A_PDR_ACCESSTIME;A_PDR_DEADBAND;A_PDR_LATCHDATA;A_PDR_DISABLEOUT;A_PDR_ARRAYLENGTH;A_HIST_DESC;A_HIST_COLLECT;A_HIST_INTERVAL;A_HIST_OFFSET;A_HIST_TIMERES;A_HIST_COMPRESS;A_HIST_DEADBAND;A_HIST_COMPTYPE;A_HIST_COMPTIME;A_SCALE_ENABLED;A_SCALE_CLAMP;A_SCALE_USEEGU;A_SCALE_RAWLOW;A_SCALE_RAWHIGH;A_SCALE_LOW;A_SCALE_HIGH!
"AI";"M501_DB182INT0050";"";"";"ON";"1";"0";"OPC";"Server";"S7;Z500;S7:[Z500]DB182,INT50;No Access Path";"None";"0,000";"999,999";"";"AUTO";"DISABLE";"NONE";"0,000";"0,000";"999,999";"999,999";"0,000";"500,000";"HIGH";"NO";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M501.M1.Machine state (rollers part)";"NONE";"YES";"NO";"REJECT";"NO";"1.000";"300.000";"0";"NO";"NO";"0";"";"NO";"5.000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,000";"65.535,000";"0,000";"999,999"
"AI";"M501_DB182INT0052";"";"";"ON";"1";"0";"OPC";"Server";"S7;Z500;S7:[Z500]DB182,INT52;No Access Path";"None";"0,000";"999,999";"";"AUTO";"DISABLE";"NONE";"0,000";"0,000";"999,999";"999,999";"0,000";"500,000";"HIGH";"NO";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M501.M2.Machine state (zone 1 wheels part)";"NONE";"YES";"NO";"REJECT";"NO";"1.000";"300.000";"0";"NO";"NO";"0";"";"NO";"5.000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,000";"65.535,000";"0,000";"999,999"
"AI";"M501_DB182INT0054";"";"";"ON";"1";"0";"OPC";"Server";"S7;Z500;S7:[Z500]DB182,INT54;No Access Path";"None";"0,000";"999,999";"";"AUTO";"DISABLE";"NONE";"0,000";"0,000";"999,999";"999,999";"0,000";"500,000";"HIGH";"NO";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M501.M3.Machine state (zone 2 wheels part)";"NONE";"YES";"NO";"REJECT";"NO";"1.000";"300.000";"0";"NO";"NO";"0";"";"NO";"5.000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,000";"65.535,000";"0,000";"999,999"
"AI";"M501_DB182INT0056";"";"";"ON";"1";"0";"OPC";"Server";"S7;Z500;S7:[Z500]DB182,INT56;No Access Path";"None";"0,000";"999,999";"";"AUTO";"DISABLE";"NONE";"0,000";"0,000";"999,999";"999,999";"0,000";"500,000";"HIGH";"NO";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M501.M4.Machine state (glass unload)";"NONE";"YES";"NO";"REJECT";"NO";"1.000";"300.000";"0";"NO";"NO";"0";"";"NO";"5.000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,000";"65.535,000";"0,000";"999,999"
"AI";"M501_DB184REAL0060";"";"";"ON";"1";"0";"OPC";"Server";"S7;Z500;S7:[Z500]DB184,REAL60;No Access Path";"None";"0,000000";"99,999990";"";"AUTO";"DISABLE";"NONE";"0,000000";"0,000000";"99,999990";"99,999990";"0,000000";"4,999999";"HIGH";"NO";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M501.M2 BQ2 actual position mm MLD (zone 1 big wheels part)";"NONE";"YES";"NO";"REJECT";"NO";"1.000";"300.000";"0";"NO";"NO";"0";"";"NO";"5.000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,000000";"65.535,000000";"0,000000";"99,999990"
"AI";"M501_DB184REAL0064";"";"";"ON";"1";"0";"OPC";"Server";"S7;Z500;S7:[Z500]DB184,REAL64;No Access Path";"None";"0,000000";"99,999990";"";"AUTO";"DISABLE";"NONE";"0,000000";"0,000000";"99,999990";"99,999990";"0,000000";"4,999999";"HIGH";"NO";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M501.M3 BQ3 actual position mm MLD (zone 2 big wheels part)";"NONE";"YES";"NO";"REJECT";"NO";"1.000";"300.000";"0";"NO";"NO";"0";"";"NO";"5.000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,000000";"65.535,000000";"0,000000";"99,999990"
"AI";"M501_DB186INT0052";"";"";"ON";"1";"0";"OPC";"Server";"S7;Z500;S7:[Z500]DB186,INT52;No Access Path";"None";"0,000";"999,999";"";"AUTO";"DISABLE";"NONE";"0,000";"0,000";"999,999";"999,999";"0,000";"500,000";"HIGH";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M";"M501. Distance from phot.B1..B1D to middle of conveyor (section Z1/Z2) (MLD) [m";"NONE";"YES";"NO";"REJECT";"NO";"1.000";"300.000";"0";"NO";"NO";"0";"";"NO";"5.000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,000";"65.535,000";"0,000";"999,999"
"AI";"M501_DB186INT0054";"";"";"ON";"1";"0";"OPC";"Server";"S7;Z500;S7:[Z500]DB186,INT54;No Access Path";"None";"-999,999";"999,999";"";"AUTO";"DISABLE";"NONE";"0,000";"0,000";"999,999";"999,999";"0,000";"500,000";"HIGH";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M501. Offset positioning - conveyor section Z1(MLD) [mm] -/+";"NONE";"YES";"NO";"REJECT";"NO";"1.000";"300.000";"0";"NO";"NO";"0";"";"NO";"5.000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,000";"65.535,000";"-999,999";"999,999"
"AI";"M501_DB186INT0058";"";"";"ON";"1";"0";"OPC";"Server";"S7;Z500;S7:[Z500]DB186,INT58;No Access Path";"None";"0,000";"999,999";"";"AUTO";"DISABLE";"NONE";"0,000";"0,000";"999,999";"999,999";"0,000";"500,000";"HIGH";"YES";"NONE";"NONE";"NONE";"ALL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"M";"M501. Distance from phot.B1..B1D to end of the conveyor section Z2 (MLD) [mm]";"NONE";"YES";"NO";"REJECT";"NO";"1.000";"300.000";"0";"NO";"NO";"0";"";"NO";"5.000,0";"0,0";"Milliseconds";"DISABLE";"0,0000";"Absolute";"0";"NO";"NO";"YES";"0,000";"65.535,000";"0,000";"999,999"
